landmark,alias,location_id,type,country_id,notes
桃園機場,TPE桃機|TPE,TW-TYU,airport,TW,主要國際機場 - 通常為出發/轉機點
松山機場,TSA,TW-TPE,airport,TW,台北市內
小港機場,KHH,TW-KHH,airport,TW,
台中清泉崗機場,RMQ,TW-TXG,airport,TW,
台北101,101|101大樓|Taipei 101,TW-TPE,building,TW,
中正紀念堂,,TW-TPE,landmark,TW,
故宮博物院,故宮,TW-TPE,museum,TW,
西門町,,TW-TPE,district,TW,
士林夜市,,TW-TPE,market,TW,
淡水老街,淡水,TW-TPE,district,TW,
陽明山,,TW-TPE,mountain,TW,
九份,九份老街,TW-NTP,district,TW,
野柳,野柳地質公園,TW-NTP,landmark,TW,
平溪,平溪天燈,TW-NTP,district,TW,
阿里山,,TW-CYI,mountain,TW,
日月潭,,TW-NTO,lake,TW,
清境農場,清境,TW-NTO,landmark,TW,
合歡山,,TW-NTO,mountain,TW,
太魯閣,太魯閣國家公園|太魯閣峽谷,TW-HUA,landmark,TW,
七星潭,,TW-HUA,beach,TW,
墾丁,墾丁國家公園,TW-PIF,landmark,TW,
鵝鑾鼻,,TW-PIF,landmark,TW,
龜山島,,TW-ILA,island,TW,
礁溪,礁溪溫泉,TW-ILA,district,TW,
成田機場,NRT,JP-KTO-TYO,airport,JP,東京主要國際機場 - 通常為出發/轉機點
羽田機場,HND,JP-KTO-TYO,airport,JP,東京 - 通常為出發/轉機點
關西機場,KIX,JP-KSI-OSA,airport,JP,大阪 - 通常為出發/轉機點
新千歲機場,CTS,JP-HKD-SPK,airport,JP,北海道 - 通常為出發/轉機點
中部國際機場,NGO|名古屋機場,JP-CBU-NGY,airport,JP,
福岡機場,FUK,JP-KYU-FKO,airport,JP,
那霸機場,OKA,JP-OKW-NHA,airport,JP,
東京迪士尼,迪士尼樂園|Disneyland,JP-KTO-TYO,park,JP,實為千葉但業界視為東京
東京迪士尼海洋,DisneySea,JP-KTO-TYO,park,JP,
晴空塔,東京晴空塔|Skytree,JP-KTO-TYO,building,JP,
東京鐵塔,Tokyo Tower,JP-KTO-TYO,building,JP,
淺草寺,雷門|淺草,JP-KTO-TYO,temple,JP,
明治神宮,,JP-KTO-TYO,shrine,JP,
新宿御苑,新宿,JP-KTO-TYO,district,JP,
澀谷,澀谷十字路口|Shibuya,JP-KTO-TYO,district,JP,
銀座,Ginza,JP-KTO-TYO,district,JP,
秋葉原,Akihabara,JP-KTO-TYO,district,JP,
築地,築地市場,JP-KTO-TYO,market,JP,
富士山,Mt Fuji|富士,JP-CBU-YNS,mountain,JP,跨山梨/靜岡 預設山梨
河口湖,,JP-CBU-YNS,lake,JP,
箱根溫泉,箱根,JP-KTO-HKN,onsen,JP,
鎌倉大佛,,JP-KTO-KMK,temple,JP,
日光東照宮,東照宮,JP-KTO-NKK,shrine,JP,
清水寺,,JP-KSI-KYT,temple,JP,
金閣寺,,JP-KSI-KYT,temple,JP,
銀閣寺,,JP-KSI-KYT,temple,JP,
伏見稻荷,千本鳥居,JP-KSI-KYT,shrine,JP,
嵐山,渡月橋,JP-KSI-KYT,landmark,JP,
祇園,,JP-KSI-KYT,district,JP,
大阪城,,JP-KSI-OSA,castle,JP,
道頓堀,心齋橋,JP-KSI-OSA,district,JP,
環球影城,USJ|日本環球影城,JP-KSI-OSA,park,JP,
東大寺,,JP-KSI-NAR,temple,JP,
姬路城,,JP-KSI-HMJ,castle,JP,
神戶港,,JP-KSI-KOB,port,JP,
合掌村,白川鄉合掌造,JP-CBU-SKR,landmark,JP,
飛驒老街,,JP-CBU-TKY,district,JP,
金澤兼六園,兼六園,JP-CBU-KZW,landmark,JP,
立山黑部,黑部立山|阿爾卑斯山脈路線,JP-CBU-NGN,landmark,JP,
小樽運河,,JP-HKD-OTR,landmark,JP,
五稜郭,,JP-HKD-HKD,landmark,JP,
富良野薰衣草,薰衣草田|富田農場,JP-HKD-FRN,landmark,JP,
青池,白金青池,JP-HKD-BIE,landmark,JP,
登別溫泉,登別,JP-HKD-SPK,onsen,JP,屬北海道道南 暫掛札幌
洞爺湖,,JP-HKD-SPK,lake,JP,
