id,name,en_name,ja_name,type,parent_id,sort_order,active,notes
TW,台灣,Taiwan,タイワン,country,,1,1,大都會旅遊「國內旅遊」
TW-TPE,台北,Taipei,タイペイ,city,TW,1,1,
TW-NTP,新北,New Taipei,シンタイペイ,city,TW,2,1,
TW-TYU,桃園,Taoyuan,トウエン,city,TW,3,1,
TW-HSC,新竹,Hsinchu,シンチク,city,TW,4,1,
TW-MIA,苗栗,Miaoli,ビョウリツ,city,TW,5,1,
TW-TXG,台中,Taichung,タイチュウ,city,TW,6,1,
TW-CHA,彰化,Changhua,ショウカ,city,TW,7,1,
TW-NTO,南投,Nantou,ナントウ,city,TW,8,1,清境/日月潭
TW-YUN,雲林,Yunlin,ウンリン,city,TW,9,1,
TW-CYI,嘉義,Chiayi,カギ,city,TW,10,1,阿里山
TW-TNN,台南,Tainan,タイナン,city,TW,11,1,
TW-KHH,高雄,Kaohsiung,タカオ,city,TW,12,1,
TW-PIF,屏東,Pingtung,ヘイトウ,city,TW,13,1,墾丁
TW-ILA,宜蘭,Yilan,ギラン,city,TW,14,1,
TW-HUA,花蓮,Hualien,カレン,city,TW,15,1,太魯閣
TW-TTT,台東,Taitung,タイトウ,city,TW,16,1,
TW-PEH,澎湖,Penghu,ホウコ,city,TW,17,1,離島
TW-KIN,金門,Kinmen,キンモン,city,TW,18,1,離島
TW-LIE,連江,Lienchiang,レンコウ,city,TW,19,1,馬祖/離島
JP,日本,Japan,ニッポン,country,,2,1,
JP-HKD,北海道,Hokkaido,ホッカイドウ,region,JP,1,1,
JP-HKD-SPK,札幌,Sapporo,サッポロ,city,JP-HKD,1,1,
JP-HKD-HKD,函館,Hakodate,ハコダテ,city,JP-HKD,2,1,
JP-HKD-OTR,小樽,Otaru,オタル,city,JP-HKD,3,1,
JP-HKD-ASA,旭川,Asahikawa,アサヒカワ,city,JP-HKD,4,1,
JP-HKD-FRN,富良野,Furano,フラノ,city,JP-HKD,5,1,薰衣草
JP-HKD-BIE,美瑛,Biei,ビエイ,city,JP-HKD,6,1,
JP-HKD-NIS,新雪谷,Niseko,ニセコ,city,JP-HKD,7,1,
JP-THK,東北,Tohoku,トウホク,region,JP,2,1,
JP-THK-SDJ,仙台,Sendai,センダイ,city,JP-THK,1,1,
JP-THK-AOM,青森,Aomori,アオモリ,city,JP-THK,2,1,
JP-THK-AKT,秋田,Akita,アキタ,city,JP-THK,3,1,
JP-THK-IWT,盛岡,Morioka,モリオカ,city,JP-THK,4,1,岩手
JP-THK-YGT,山形,Yamagata,ヤマガタ,city,JP-THK,5,1,
JP-THK-FKS,福島,Fukushima,フクシマ,city,JP-THK,6,1,
JP-KTO,關東,Kanto,カントウ,region,JP,3,1,
JP-KTO-TYO,東京,Tokyo,トウキョウ,city,JP-KTO,1,1,
JP-KTO-YHM,橫濱,Yokohama,ヨコハマ,city,JP-KTO,2,1,
JP-KTO-KMK,鎌倉,Kamakura,カマクラ,city,JP-KTO,3,1,
JP-KTO-NKK,日光,Nikko,ニッコウ,city,JP-KTO,4,1,
JP-KTO-HKN,箱根,Hakone,ハコネ,city,JP-KTO,5,1,
JP-KTO-CHB,千葉,Chiba,チバ,city,JP-KTO,6,1,
JP-KTO-SAI,埼玉,Saitama,サイタマ,city,JP-KTO,7,1,
JP-KTO-IBA,茨城,Ibaraki,イバラキ,city,JP-KTO,8,1,
JP-CBU,中部,Chubu,チュウブ,region,JP,4,1,
JP-CBU-NGY,名古屋,Nagoya,ナゴヤ,city,JP-CBU,1,1,
JP-CBU-TKY,高山,Takayama,タカヤマ,city,JP-CBU,2,1,飛驒高山
JP-CBU-SKR,白川鄉,Shirakawa-go,シラカワゴウ,city,JP-CBU,3,1,合掌村
JP-CBU-KZW,金澤,Kanazawa,カナザワ,city,JP-CBU,4,1,
JP-CBU-NGN,長野,Nagano,ナガノ,city,JP-CBU,5,1,
JP-CBU-NIG,新潟,Niigata,ニイガタ,city,JP-CBU,6,1,
JP-CBU-SHZ,靜岡,Shizuoka,シズオカ,city,JP-CBU,7,1,富士山南麓
JP-CBU-YNS,山梨,Yamanashi,ヤマナシ,city,JP-CBU,8,1,富士山北麓
JP-KSI,關西,Kansai,カンサイ,region,JP,5,1,
JP-KSI-OSA,大阪,Osaka,オオサカ,city,JP-KSI,1,1,
JP-KSI-KYT,京都,Kyoto,キョウト,city,JP-KSI,2,1,
JP-KSI-KOB,神戶,Kobe,コウベ,city,JP-KSI,3,1,
JP-KSI-NAR,奈良,Nara,ナラ,city,JP-KSI,4,1,
JP-KSI-HMJ,姬路,Himeji,ヒメジ,city,JP-KSI,5,1,
JP-KSI-WKY,和歌山,Wakayama,ワカヤマ,city,JP-KSI,6,1,
JP-CGK,中國,Chugoku,チュウゴク,region,JP,6,1,日本中國地方
JP-CGK-HRS,廣島,Hiroshima,ヒロシマ,city,JP-CGK,1,1,
JP-CGK-OKY,岡山,Okayama,オカヤマ,city,JP-CGK,2,1,
JP-CGK-TTT,鳥取,Tottori,トットリ,city,JP-CGK,3,1,
JP-SKO,四國,Shikoku,シコク,region,JP,7,1,
JP-SKO-TKM,德島,Tokushima,トクシマ,city,JP-SKO,1,1,
JP-SKO-KGW,香川,Kagawa,カガワ,city,JP-SKO,2,1,
JP-SKO-EHM,愛媛,Ehime,エヒメ,city,JP-SKO,3,1,
JP-SKO-KCH,高知,Kochi,コウチ,city,JP-SKO,4,1,
JP-KYU,九州,Kyushu,キュウシュウ,region,JP,8,1,
JP-KYU-FKO,福岡,Fukuoka,フクオカ,city,JP-KYU,1,1,
JP-KYU-KMM,熊本,Kumamoto,クマモト,city,JP-KYU,2,1,
JP-KYU-NGS,長崎,Nagasaki,ナガサキ,city,JP-KYU,3,1,
JP-KYU-KGS,鹿兒島,Kagoshima,カゴシマ,city,JP-KYU,4,1,
JP-KYU-OIT,大分,Oita,オオイタ,city,JP-KYU,5,1,別府/由布院
JP-KYU-MYZ,宮崎,Miyazaki,ミヤザキ,city,JP-KYU,6,1,
JP-KYU-SAG,佐賀,Saga,サガ,city,JP-KYU,7,1,
JP-OKW,沖繩,Okinawa,オキナワ,region,JP,9,1,
JP-OKW-NHA,那霸,Naha,ナハ,city,JP-OKW,1,1,
JP-OKW-ISG,石垣,Ishigaki,イシガキ,city,JP-OKW,2,1,
KR,韓國,Korea,カンコク,country,,3,1,
KR-SEL,首爾,Seoul,ソウル,city,KR,1,1,
KR-PUS,釜山,Busan,プサン,city,KR,2,1,
KR-CJU,濟州,Jeju,チェジュ,city,KR,3,1,
KR-INC,仁川,Incheon,インチョン,city,KR,4,1,
KR-DGU,大邱,Daegu,テグ,city,KR,5,1,
KR-KAN,江原道,Gangwon,カンウォン,city,KR,6,1,雪嶽山/南怡島
TH,泰國,Thailand,タイ,country,,4,1,
TH-BKK,曼谷,Bangkok,バンコク,city,TH,1,1,
TH-CNX,清邁,Chiang Mai,チェンマイ,city,TH,2,1,
TH-HKT,普吉,Phuket,プーケット,city,TH,3,1,
TH-PTY,芭達雅,Pattaya,パタヤ,city,TH,4,1,
TH-CRI,清萊,Chiang Rai,チェンライ,city,TH,5,1,
TH-KBI,喀比,Krabi,クラビ,city,TH,6,1,
TH-USM,蘇美島,Koh Samui,サムイ,city,TH,7,1,
VN,越南,Vietnam,ベトナム,country,,5,1,
VN-HAN,河內,Hanoi,ハノイ,city,VN,1,1,
