keyword,role,window,direction,weight,requires_context,notes
集合,departure,10,left,1.0,機場|航班|班機|搭機|出境|起飛|登機|桃機|郵輪|港,X集合 - 需同句有機場/航班anchor避免「飯店集合」誤判
集合地點,departure,10,left,1.0,機場|航班|班機|搭機|出境|登機|桃機|郵輪|港,
集合處,departure,10,left,1.0,機場|航班|班機|搭機|出境|登機|桃機|郵輪|港,
報到,departure,10,left,1.0,機場|航班|班機|搭機|出境|登機|桃機|郵輪|港,
報到處,departure,10,left,1.0,機場|航班|班機|搭機|出境|登機|桃機|郵輪|港,
出發地,departure,10,left,1.0,,X是出發地
啟程,departure,10,left,0.9,,
啟航,departure,10,left,0.9,,郵輪
母港,departure,15,left,1.0,,
機場集合,departure,10,left,1.0,,本身已含 機場 anchor
轉機,transit,10,left,1.0,,X轉機
過境,transit,10,left,1.0,,X過境
轉乘,transit,10,left,0.9,,X轉乘
經由,transit,15,right,0.9,,經由X
"經[^,。]*飛",transit,20,right,0.9,,
"經[^,。]*前往",transit,20,right,0.9,,
"飛抵[^,。]*後[^,。]*轉",transit,30,right,0.9,,
中停,transit,10,left,0.9,,
連程,transit,10,left,0.8,,
不去,exclude,15,right,1.0,,不去X
不含,exclude,15,right,1.0,,
不包含,exclude,15,right,1.0,,
除外,exclude,10,left,1.0,,X除外
排除,exclude,10,right,1.0,,
跳過,exclude,10,right,1.0,,
不前往,exclude,15,right,1.0,,
本次不,exclude,20,right,0.9,,
出境,departure,10,left,0.9,機場|航班|班機|搭機|登機|港,X出境
東方,metaphor,3,right,0.85,,東方X比喻
小,metaphor,2,right,0.7,,小X比喻
亞洲版,metaphor,3,right,0.9,,
亞洲的,metaphor,3,right,0.85,,
中國的,metaphor,3,right,0.7,,
台灣版,metaphor,3,right,0.8,,
迷你,metaphor,2,right,0.6,,
媲美,metaphor,5,right,0.7,,
有如,metaphor,5,right,0.6,,
像極了,metaphor,5,right,0.7,,
彷彿,metaphor,5,right,0.6,,
直飛,destination,10,right,1.0,,直飛X
飛抵,destination,10,right,1.0,,飛抵X
飛,destination,3,right,0.7,,飛X 較弱
抵達,destination,10,right,0.95,,抵達X
入住,destination,10,right,1.0,,入住X
夜宿,destination,10,right,1.0,,夜宿X
住宿,destination,15,right,0.9,,
過夜,destination,10,left,0.9,,X過夜
遊覽,destination,10,left,1.0,,X遊覽
參觀,destination,10,right,0.95,,參觀X
品嚐,destination,10,left,0.8,,
體驗,destination,10,left,0.8,,
觀光,destination,10,left,0.95,,X觀光
踩點,destination,10,left,0.9,,
探訪,destination,10,right,0.95,,探訪X
朝聖,destination,10,right,0.9,,
返國,return,10,left,0.95,,X返國
返台,return,10,left,1.0,,
回國,return,10,left,0.9,,
歸國,return,10,left,0.9,,
返程,return,10,left,0.95,,
搭機返,return,15,right,1.0,,
半日遊,duration,8,left,0.8,,
一日遊,duration,8,left,0.8,,
