alias,location_id,alias_type,confidence,notes
中華民國,TW,formal,1.0,
Taiwan,TW,en,1.0,
Formosa,TW,nickname,0.9,舊名
寶島,TW,nickname,0.8,
タイワン,TW,ja,1.0,
台北市,TW-TPE,formal,1.0,
Taipei,TW-TPE,en,1.0,
タイペイ,TW-TPE,ja,1.0,
桃園市,TW-TYU,formal,1.0,
Taoyuan,TW-TYU,en,1.0,
台中市,TW-TXG,formal,1.0,
Taichung,TW-TXG,en,1.0,
台南市,TW-TNN,formal,1.0,
Tainan,TW-TNN,en,1.0,
高雄市,TW-KHH,formal,1.0,
Kaohsiung,TW-KHH,en,1.0,
墾丁,TW-PIF,landmark,0.95,屏東代表景點
阿里山,TW-CYI,landmark,0.95,嘉義代表景點
日月潭,TW-NTO,landmark,0.95,南投代表景點
清境,TW-NTO,landmark,0.95,南投清境農場
太魯閣,TW-HUA,landmark,0.95,花蓮代表景點
日本國,JP,formal,1.0,
Japan,JP,en,1.0,
ニッポン,JP,ja,1.0,
ニホン,JP,ja,1.0,
東瀛,JP,nickname,0.85,
扶桑,JP,nickname,0.7,古名
和國,JP,nickname,0.6,
東京都,JP-KTO-TYO,formal,1.0,
Tokyo,JP-KTO-TYO,en,1.0,
トウキョウ,JP-KTO-TYO,ja,1.0,
江戶,JP-KTO-TYO,historic,0.95,東京舊名
Osaka,JP-KSI-OSA,en,1.0,
オオサカ,JP-KSI-OSA,ja,1.0,
大坂,JP-KSI-OSA,historic,0.9,大阪古寫法
Kyoto,JP-KSI-KYT,en,1.0,
キョウト,JP-KSI-KYT,ja,1.0,
平安京,JP-KSI-KYT,historic,0.9,京都古名
Hokkaido,JP-HKD,en,1.0,
ホッカイドウ,JP-HKD,ja,1.0,
札幌市,JP-HKD-SPK,formal,1.0,
Sapporo,JP-HKD-SPK,en,1.0,
富良野町,JP-HKD-FRN,formal,1.0,
Furano,JP-HKD-FRN,en,1.0,
飛驒高山,JP-CBU-TKY,formal,1.0,完整稱呼避免歧義
Takayama,JP-CBU-TKY,en,1.0,
白川鄉,JP-CBU-SKR,formal,1.0,
合掌村,JP-CBU-SKR,landmark,0.95,白川鄉景點
Shirakawago,JP-CBU-SKR,en,1.0,
名古屋市,JP-CBU-NGY,formal,1.0,
Nagoya,JP-CBU-NGY,en,1.0,
大韓民國,KR,formal,1.0,
South Korea,KR,en,1.0,
Korea,KR,en,0.9,可能也指北韓
韓,KR,abbr,0.6,
서울,KR-SEL,ko,1.0,
Seoul,KR-SEL,en,1.0,
漢城,KR-SEL,historic,0.9,首爾舊名
부산,KR-PUS,ko,1.0,
Busan,KR-PUS,en,1.0,
제주,KR-CJU,ko,1.0,
Jeju,KR-CJU,en,1.0,
泰王國,TH,formal,1.0,
Thailand,TH,en,1.0,
暹羅,TH,historic,0.95,泰國舊名
Siam,TH,historic,0.95,
Bangkok,TH-BKK,en,1.0,
กรุงเทพ,TH-BKK,th,1.0,
Chiang Mai,TH-CNX,en,1.0,
清邁府,TH-CNX,formal,1.0,
Phuket,TH-HKT,en,1.0,
普吉島,TH-HKT,formal,1.0,
Pattaya,TH-PTY,en,1.0,
越南社會主義共和國,VN,formal,1.0,
Vietnam,VN,en,1.0,
安南,VN,historic,0.85,越南古名
Hanoi,VN-HAN,en,1.0,
Ho Chi Minh,VN-SGN,en,1.0,
Ho Chi Minh City,VN-SGN,en,1.0,
HCMC,VN-SGN,abbr,0.9,
